Cycle,NO.1,NO.2,NO.3,NO.4,NO.5,NO.6,NO.7,NO.8,NO.9,NO.10,NO.11,NO.12,NO.13,NO.14,NO.15,NO.16,NO.17,NO.18,NO.19,NO.20,NO.21,NO.22,NO.23,NO.24,NO.25,NO.26,NO.27,NO.28,NO.29,NO.30,NO.31,NO.32,NO.33,NO.34,NO.35,NO.36,NO.37,NO.38,NO.39,NO.40,NO.41,NO.42,NO.43,NO.44,NO.45,NO.46,NO.47,NO.48,NO.49,NO.50,NO.51,NO.52,NO.53,NO.54,NO.55,NO.56,NO.57,NO.58,NO.59,NO.60,NO.61,NO.62,NO.63,NO.64,NO.65,NO.66,NO.67,NO.68,NO.69,NO.70,NO.71,NO.72,NO.73,NO.74,NO.75,NO.76,NO.77,NO.78,NO.79
289,1.073645115,1.046883112,1.062991664,1.053660498,1.073016902,1.065708729,1.030536425,1.066981355,1.06463779,1.074903126,1.066196035,1.066919388,1.073859706,1.063843419,1.079625719,1.061741932,1.075235055,1.059054622,1.062965733,1.054766765,1.052574068,1.062255242,1.073360094,1.068522618,1.065337263,1.048777669,1.054069647,1.055150216,1.050566024,1.080006561,NA,0.979903348,0.950716214,0.983872705,1.006381311,0.980847354,0.957178956,0.967358496,1.014373451,0.997888251,1.023325959,1.016527748,1.012632782,0.981231859,0.98767035,0.990115235,1.022519598,1.028699838,NA,1.003513232,1.036283721,1.042862712,1.026861096,0.99473689,1.042898435,1.018627248,1.005434463,1.007296557,1.006394398,0.959755528,0.998028141,0.992503918,0.99584341,1.007518232,0.972300987,1.013137853,1.00154692,0.956963262,1.052676899,1.051743407,1.053207706,1.054320274,1.053103781,1.056850419,1.061331867,1.05119738,1.0476657,1.040606667,1.063738958
290,1.073608973,1.04682677,1.062941272,1.053591668,1.072968776,1.065662245,1.030451607,1.066894041,1.064581626,1.074841417,1.066139031,1.066861176,1.073824437,1.063770277,1.079570592,1.06164627,1.075136008,1.058952036,1.062858999,1.054605927,1.052393132,1.062054113,1.073318061,1.068462851,1.065187867,1.048630417,1.053745264,1.05481969,1.050459789,1.079940424,NA,0.979174821,0.94993733,0.983142556,1.005709899,0.980223344,0.956550568,0.966068079,1.013670781,0.997204785,1.022765221,1.016026499,1.011972703,0.98033137,0.986833001,0.989234267,1.021923972,1.028024107,NA,1.002766573,1.035755888,1.042305119,1.026208917,0.993812673,1.042425749,1.017737911,1.004468624,1.006144084,1.005732147,0.958193012,0.996986464,0.991448923,0.994670241,1.006803098,0.97058019,1.013005811,1.000765152,0.956570087,1.052607713,1.051680049,1.053158779,1.054265486,1.053040673,1.056789128,1.061274555,1.051131463,1.047601039,1.040543614,1.063701173
291,1.073572747,1.046770053,1.0628907,1.053522187,1.072920705,1.06561564,1.0303666,1.066806069,1.064525433,1.074779542,1.066081663,1.066802836,1.073789214,1.063696521,1.079515417,1.061549777,1.075036187,1.058848337,1.062751108,1.054443277,1.052209911,1.061850462,1.073275995,1.068403108,1.065036774,1.048481372,1.053417706,1.054485632,1.050352638,1.079874052,NA,0.978438981,0.949151886,0.982405903,1.005031068,0.97959312,0.955912697,0.964761377,1.012961323,0.996514216,1.022197871,1.015520139,1.011304561,0.979419547,0.98598643,0.988342903,1.021321572,1.027339144,NA,1.002010299,1.035221094,1.041740226,1.025547882,0.992875107,1.041947225,1.016836883,1.003488428,1.004975544,1.005063369,0.956610889,0.995933403,0.990382058,0.993483067,1.006079076,0.968834801,1.012873733,0.999973906,0.956174275,1.052538708,1.051616826,1.053109799,1.054210725,1.052977646,1.056727922,1.061217327,1.051065656,1.047536462,1.040480459,1.0636633
292,1.073536437,1.046712954,1.062839945,1.053452043,1.072872685,1.065568909,1.030281387,1.06671743,1.06446921,1.074717498,1.066023924,1.066744364,1.073754036,1.063622137,1.079460191,1.061452442,1.074935583,1.05874351,1.062642047,1.054278795,1.052024376,1.061644262,1.073233896,1.068343389,1.064883972,1.048330512,1.053086958,1.054148019,1.050244543,1.079807442,NA,0.977695746,0.94835982,0.981662703,1.004344749,0.978956626,0.955265212,0.963438225,1.012245024,0.995816471,1.021623839,1.015008628,1.010628278,0.978496264,0.985130544,0.987441043,1.020712341,1.026644855,NA,1.001244305,1.034679262,1.041167963,1.024877905,0.991924037,1.041462806,1.015924055,1.00249371,1.003790771,1.004388006,0.955008976,0.994868873,0.989303226,0.99228177,1.005346074,0.967064569,1.012741614,0.999173089,0.955775784,1.052469887,1.051553742,1.053060768,1.054155991,1.052914703,1.056666804,1.061160184,1.050999961,1.047471972,1.040417197,1.063625341
293,1.073500045,1.046655467,1.062789002,1.053381221,1.072824714,1.065522049,1.030195953,1.066628117,1.064412958,1.074655281,1.065965809,1.066685758,1.073718903,1.063547108,1.079404909,1.061354254,1.074834186,1.058637543,1.062531801,1.054112461,1.051836493,1.061435484,1.073191766,1.068283695,1.064729447,1.048177817,1.052753004,1.053806827,1.050135472,1.07974059,NA,0.976945033,0.947561068,0.980912916,1.003650873,0.978313804,0.954607977,0.962098459,1.011521834,0.995111477,1.021043057,1.014491927,1.009943777,0.9775614,0.984265245,0.986528587,1.020096219,1.025941144,NA,1.000468487,1.034130318,1.040588262,1.024198899,0.990959306,1.040972433,1.014999317,1.001484307,1.0025896,1.003706002,0.953387094,0.993792789,0.988212326,0.991066237,1.004603999,0.965269244,1.012609445,0.998362609,0.955374572,1.052401251,1.051490797,1.053011686,1.054101286,1.052851844,1.056605774,1.061103126,1.05093438,1.047407569,1.040353822,1.063587295
294,1.073463569,1.046597585,1.062737869,1.05330971,1.072776787,1.065475055,1.030110282,1.066538121,1.064356674,1.074592888,1.065907314,1.066627016,1.073683813,1.063471421,1.079349569,1.061255201,1.074731986,1.05853042,1.062420355,1.053944252,1.051646233,1.061224099,1.073149604,1.068224025,1.064573188,1.048023267,1.052415828,1.053462032,1.050025394,1.079673492,NA,0.976186758,0.946755567,0.980156498,1.002949369,0.977664597,0.953940858,0.960741913,1.010791699,0.994399162,1.020455455,1.013969997,1.009250979,0.976614829,0.983390438,0.985605435,1.019473147,1.025227916,NA,0.999682738,1.033574186,1.040001052,1.023510775,0.989980755,1.040476045,1.014062556,1.000460052,1.001371862,1.003017297,0.95174506,0.992705066,0.987109261,0.989836351,1.003852757,0.963448572,1.01247722,0.997542371,0.954970595,1.052332804,1.051427994,1.052962554,1.054046611,1.052789071,1.056544833,1.061046153,1.050868915,1.047343255,1.040290329,1.063549165
295,1.073427012,1.046539301,1.06268654,1.053237497,1.072728902,1.065427923,1.030024359,1.066447435,1.064300359,1.074530314,1.065848434,1.066568134,1.073648768,1.06339506,1.079294166,1.061155273,1.074628974,1.058422129,1.062307697,1.05377415,1.051453561,1.061010081,1.073107411,1.068164379,1.064415182,1.04786684,1.052075413,1.053113612,1.049914279,1.079606143,NA,0.975420839,0.945943252,0.979393407,1.002240166,0.977008947,0.95326372,0.95936842,1.010054568,0.993679451,1.019860962,1.013442798,1.008549806,0.975656426,0.982506027,0.984671485,1.018843068,1.024505075,NA,0.998886953,1.033010791,1.039406265,1.022813447,0.988988228,1.039973584,1.013113662,0.99942078,1.00013739,1.002321833,0.950082691,0.991605617,0.985993931,0.988591994,1.003092256,0.961602299,1.012344932,0.996712282,0.954563811,1.052264546,1.051365335,1.052913374,1.053991967,1.052726384,1.056483983,1.060989266,1.050803568,1.047279032,1.040226713,1.06351095
296,1.073390373,1.046480607,1.062635012,1.053164568,1.072681054,1.065380649,1.029938166,1.066356051,1.064244012,1.074467557,1.065789163,1.06650911,1.073613766,1.06331801,1.079238698,1.061054457,1.07452514,1.058312655,1.06219381,1.053602132,1.051258448,1.060793401,1.073065187,1.068104758,1.064255417,1.047708517,1.051731746,1.052761542,1.049802095,1.07953854,NA,0.974647191,0.945124058,0.978623602,1.001523195,0.976346797,0.952576426,0.957977814,1.009310387,0.992952271,1.019259508,1.01291029,1.007840178,0.974686066,0.981611914,0.983726638,1.018205921,1.023772524,NA,0.998081024,1.032440056,1.038803829,1.022106825,0.987981563,1.03946499,1.012152522,0.998366324,0.998886015,1.00161955,0.948399804,0.990494356,0.984866236,0.987333049,1.002322401,0.95973017,1.012212572,0.995872248,0.954154176,1.052196481,1.051302821,1.052864145,1.053937354,1.052663785,1.056423223,1.060932465,1.050738341,1.047214901,1.040162968,1.063472652
297,1.073353652,1.046421498,1.06258328,1.053090911,1.07263324,1.065333229,1.029851688,1.06626396,1.064187632,1.074404612,1.065729497,1.066449941,1.073578807,1.063240254,1.079183159,1.060952741,1.074420474,1.058201984,1.062078681,1.053428177,1.051060859,1.060574029,1.073022932,1.068045161,1.06409388,1.047548276,1.051384809,1.0524058,1.04968881,1.079470679,NA,0.973865728,0.944297921,0.977847039,1.000798382,0.975678088,0.951878838,0.956569927,1.008559103,0.992217547,1.018651023,1.012372435,1.007122016,0.973703621,0.980708001,0.98277079,1.017561647,1.023030165,NA,0.997264845,1.031861903,1.038193675,1.021390822,0.986960601,1.038950201,1.011179024,0.997296514,0.997617567,1.000910389,0.946696213,0.989371197,0.983726076,0.9860594,1.001543096,0.957831928,1.012080133,0.995022174,0.953741645,1.052128608,1.051240454,1.052814869,1.053882773,1.052601275,1.056362556,1.06087575,1.050673235,1.047150863,1.04009909,1.063434271
298,1.07331685,1.046361966,1.062531342,1.053016512,1.072585457,1.065285659,1.029764909,1.066171154,1.064131218,1.074341477,1.06566943,1.066390624,1.07354389,1.063161777,1.079127546,1.060850116,1.074314967,1.058090102,1.061962296,1.053252264,1.050860762,1.060351938,1.072980647,1.067985588,1.063930558,1.047386096,1.051034586,1.05204636,1.049574393,1.079402555,NA,0.973076367,0.943464776,0.977063677,1.000065657,0.975002761,0.951170819,0.955144588,1.007800665,0.991475204,1.018035434,1.011829191,1.006395241,0.972708966,0.979794191,0.98180384,1.016910187,1.022277902,NA,0.996438307,1.031276257,1.037575732,1.020665347,0.985925181,1.038429159,1.010193054,0.996211183,0.996331876,1.000194292,0.944971732,0.988236053,0.98257335,0.984770927,1.000754248,0.955907315,1.011947608,0.994161964,0.953326177,1.052060932,1.051178236,1.052765547,1.053828226,1.052538855,1.056301982,1.060819122,1.050608252,1.04708692,1.040035072,1.063395807
299,1.073279968,1.046302004,1.062479191,1.052941358,1.0725377,1.065237935,1.029677811,1.066077627,1.06407477,1.074278146,1.065608957,1.066331156,1.073509016,1.063082563,1.079071856,1.060746567,1.074208608,1.057976996,1.061844639,1.053074373,1.050658125,1.060127098,1.072938332,1.06792604,1.06376544,1.047221957,1.050681063,1.051683201,1.04945881,1.079334164,NA,0.97227902,0.942624557,0.976273473,0.999324948,0.974320759,0.950452228,0.953701628,1.007035018,0.990725169,1.017412672,1.011280518,1.005659773,0.971701972,0.978870385,0.980825685,1.01625148,1.021515637,NA,0.995601302,1.03068304,1.036949929,1.019930311,0.984875141,1.037901801,1.009194498,0.995110159,0.99502877,0.999471197,0.943226177,0.987088837,0.981407958,0.983467512,0.999955759,0.953956072,1.011814988,0.993291524,0.952907725,1.051993452,1.051116168,1.052716179,1.053773713,1.052476526,1.056241501,1.060762579,1.050543395,1.047023072,1.03997091,1.063357262
300,1.073243005,1.046241604,1.062426826,1.052865436,1.072489966,1.065190052,1.029590378,1.065983368,1.064018286,1.074214616,1.065548073,1.066271534,1.073474184,1.063002597,1.079016084,1.060642085,1.074101389,1.05786265,1.061725695,1.05289448,1.050452915,1.059899482,1.072895988,1.067866515,1.063598513,1.047055838,1.050324223,1.051316297,1.049342029,1.079265502,NA,0.971473602,0.941777198,0.975476384,0.998576183,0.973632022,0.949722927,0.952240876,1.006262109,0.989967364,1.016782663,1.010726378,1.00491553,0.97068251,0.977936483,0.979836222,1.015585466,1.020743269,NA,0.99475372,1.030082173,1.036316194,1.019185625,0.983810316,1.037368067,1.008183243,0.993993273,0.993708076,0.998741046,0.941459359,0.985929461,0.980229797,0.982149036,0.999147535,0.951977939,1.011682266,0.992410756,0.952486245,1.051926172,1.051054253,1.052666767,1.053719235,1.052414288,1.056181115,1.060706123,1.050478664,1.046959321,1.039906597,1.063318636
301,1.073205963,1.046180761,1.06237424,1.052788732,1.07244225,1.065142006,1.029502593,1.065888371,1.063961766,1.074150884,1.065486773,1.066211755,1.073439394,1.062921861,1.078960227,1.060536658,1.073993298,1.05774705,1.061605451,1.052712566,1.050245098,1.059669059,1.072853614,1.067807014,1.063429765,1.046887716,1.049964051,1.050945625,1.049224017,1.079196565,NA,0.970660025,0.940922634,0.974672369,0.997819288,0.972936492,0.948982775,0.950762162,1.005481884,0.989201714,1.016145336,1.010166729,1.004162432,0.969650451,0.976992386,0.978835346,1.014912086,1.019960701,NA,0.993895452,1.029473578,1.035674457,1.018431197,0.982730545,1.036827895,1.007159174,0.992860352,0.992369622,0.998003777,0.939671091,0.984757839,0.979038767,0.980815379,0.998329478,0.949972653,1.011549434,0.991519565,0.952061694,1.051859093,1.050992491,1.052617311,1.053664793,1.052352144,1.056120825,1.060649754,1.050414062,1.046895669,1.039842128,1.063279931
302,1.073168841,1.046119466,1.06232143,1.052711233,1.07239455,1.065093793,1.029414438,1.065792628,1.06390521,1.074086945,1.065425052,1.066151818,1.073404645,1.062840341,1.07890428,1.060430272,1.073884325,1.057630182,1.061483891,1.052528607,1.050034641,1.059435801,1.07281121,1.067747538,1.063259183,1.046717572,1.049600532,1.050571162,1.049104741,1.079127349,NA,0.969838204,0.940060796,0.973861384,0.997054191,0.972234108,0.948231629,0.949265312,1.004694291,0.988428143,1.015500619,1.009601532,1.003400398,0.968605667,0.976037994,0.977822955,1.014231277,1.019167834,NA,0.993026387,1.028857177,1.035024645,1.017666937,0.981635661,1.036281224,1.006122175,0.991711222,0.991013233,0.997259331,0.937861183,0.983573882,0.977834764,0.979466422,0.997501491,0.947939952,1.011416483,0.990617854,0.951634025,1.051792217,1.050930885,1.052567812,1.053610388,1.052290093,1.05606063,1.060593471,1.05034959,1.046832116,1.039777498,1.063241145
303,1.07313164,1.046057712,1.062268393,1.052632924,1.072346861,1.065045407,1.029325897,1.065696129,1.063848615,1.074022796,1.065362905,1.066091717,1.073369936,1.062758019,1.07884824,1.060322917,1.073774462,1.057512032,1.061361,1.052342583,1.049821511,1.059199678,1.072768779,1.067688085,1.063086754,1.046545382,1.049233649,1.050192884,1.048984167,1.079057848,NA,0.969008049,0.939191619,0.973043387,0.996280818,0.971524812,0.947469348,0.947750153,1.003899274,0.987646574,1.014848437,1.009030746,1.002629346,0.967548025,0.975073206,0.976798942,1.013542981,1.018364566,NA,0.992146416,1.028232889,1.034366685,1.016892755,0.980525499,1.035727992,1.005072132,0.990545712,0.989638735,0.996507646,0.936029447,0.982377502,0.976617687,0.978102042,0.996663477,0.945879572,1.011283405,0.989705524,0.951203193,1.051725545,1.050869436,1.052518272,1.053556021,1.052228137,1.056000533,1.060537275,1.050285251,1.046768664,1.039712699,1.063202282
304,1.073094361,1.045995492,1.062215122,1.052553792,1.072299179,1.064996846,1.029236953,1.065598868,1.063791982,1.073958432,1.065300326,1.066031451,1.073335268,1.062674879,1.078792102,1.060214581,1.073663697,1.057392584,1.061236764,1.052154472,1.049605673,1.05896066,1.072726318,1.067628655,1.062912466,1.046371127,1.048863387,1.049810767,1.048862262,1.078988059,NA,0.968169472,0.938315036,0.972218335,0.995499096,0.970808543,0.946695788,0.946216511,1.00309678,0.98685693,1.014188719,1.00845433,1.001849194,0.966477395,0.97409792,0.975763203,1.012847134,1.017550797,NA,0.991255426,1.027600636,1.033700506,1.016108557,0.979399892,1.035168136,1.004008926,0.989363645,0.988245951,0.995748661,0.93417569,0.981168611,0.975387431,0.976722121,0.995815337,0.943791247,1.011150191,0.988782478,0.950769153,1.051659079,1.050808146,1.05246869,1.053501692,1.052166277,1.055940534,1.060481165,1.050221045,1.046705314,1.039647728,1.06316334
305,1.073057004,1.045932799,1.062161616,1.052473823,1.072251499,1.064948103,1.029147586,1.065500835,1.063735309,1.07389385,1.06523731,1.065971016,1.07330064,1.062590904,1.078735862,1.06010525,1.073552021,1.057271825,1.061111166,1.051964251,1.049387093,1.058718719,1.07268383,1.067569249,1.062736307,1.046194784,1.04848973,1.049424786,1.04873899,1.078917978,NA,0.967322385,0.937430978,0.971386185,0.99470895,0.970085242,0.945910804,0.944664211,1.002286754,0.986059133,1.01352139,1.007872243,1.001059861,0.965393645,0.973112036,0.974715632,1.012143677,1.016726427,NA,0.990353305,1.026960338,1.033026035,1.015314252,0.978258674,1.034601593,1.002932443,0.988164847,0.986834705,0.994982315,0.932299723,0.97994712,0.974143895,0.975326535,0.994956973,0.941674709,1.011016834,0.987848618,0.950331859,1.051592822,1.050747016,1.052419068,1.053447403,1.052104513,1.055880634,1.060425142,1.050156975,1.046642067,1.039582576,1.063124321
306,1.073019569,1.045869626,1.062107868,1.052393004,1.072203818,1.064899176,1.029057781,1.065402023,1.063678596,1.073829045,1.065173851,1.06591041,1.073266051,1.062506077,1.078679517,1.059994914,1.073439422,1.057149739,1.060984193,1.051771899,1.049165738,1.058473825,1.072641314,1.067509866,1.062558264,1.046016332,1.048112664,1.049034919,1.048614318,1.0788476,NA,0.966466699,0.936539378,0.970546894,0.993910306,0.969354848,0.945114253,0.943093078,1.001469142,0.985253106,1.012846376,1.007284446,1.000261263,0.964296643,0.972115451,0.973656124,1.011432547,1.015891354,NA,0.98943994,1.026311913,1.032343197,1.014509748,0.977101675,1.034028301,1.001842564,0.986949141,0.98540482,0.994208546,0.930401352,0.97871294,0.972886973,0.973915163,0.994088285,0.939529692,1.010883324,0.986903844,0.949891264,1.051526773,1.050686047,1.052369407,1.053393154,1.052042847,1.055820833,1.060369205,1.050093042,1.046578924,1.039517239,1.063085226
307,1.072982056,1.045805964,1.062053875,1.052311319,1.072156132,1.064850058,1.028967518,1.065302424,1.063621842,1.073764014,1.065109946,1.065849629,1.073231502,1.062420382,1.078623061,1.05988356,1.073325892,1.057026311,1.060855829,1.051577393,1.048941572,1.058225946,1.07259877,1.067450505,1.062378325,1.045835749,1.047732172,1.048641141,1.048488211,1.07877692,NA,0.965602323,0.935640168,0.96970042,0.99310309,0.9686173,0.944305987,0.941502935,1.00064389,0.98443877,1.012163603,1.006690897,0.999453317,0.963186255,0.971108061,0.972584571,1.010713683,1.015045476,NA,0.98851522,1.025655282,1.031651921,1.013694952,0.975928726,1.033448197,1.000739172,0.985716349,0.983956117,0.993427292,0.928480386,0.977465982,0.971616562,0.972487883,0.993209175,0.937355925,1.010749653,0.985948058,0.949447322,1.051460935,1.050625242,1.052319707,1.053338946,1.051981279,1.055761133,1.060313355,1.050029247,1.046515887,1.03945171,1.063046054
308,1.072944467,1.045741806,1.061999632,1.052228755,1.072108436,1.064800745,1.02887678,1.065202028,1.063565045,1.073698751,1.065045587,1.06578867,1.073196991,1.062333801,1.078566491,1.059771176,1.073211419,1.056901528,1.060726059,1.051380711,1.048714561,1.057975055,1.0725562,1.067391168,1.062196477,1.045653013,1.047348239,1.048243428,1.048360634,1.078705934,NA,0.964729167,0.934733278,0.968846719,0.992287225,0.967872538,0.94348586,0.939893604,0.999810941,0.983616048,1.011472997,1.006091555,0.99863594,0.962062348,0.970089764,0.971500866,1.009987022,1.01418869,NA,0.987579029,1.024990363,1.030952132,1.01286977,0.974739657,1.032861217,0.999622149,0.984466293,0.982488418,0.992638492,0.926536629,0.976206156,0.970332557,0.971044571,0.992319542,0.935153138,1.010615812,0.98498116,0.948999987,1.05139531,1.050564601,1.052269969,1.05328478,1.051919811,1.055701533,1.060257591,1.049965593,1.046452956,1.039385983,1.063006808
309,1.072906801,1.045677146,1.061945135,1.052145297,1.072060725,1.064751234,1.028785549,1.065100828,1.063508205,1.073633254,1.064980771,1.06572753,1.073162519,1.062246318,1.078509802,1.059657749,1.073095994,1.056775373,1.060594866,1.051181831,1.048484671,1.057721119,1.072513602,1.067331852,1.062012707,1.045468102,1.046960849,1.047841756,1.048231551,1.078634638,NA,0.963847141,0.933818641,0.967985749,0.991462638,0.967120501,0.942653725,0.938264907,0.998970242,0.982784858,1.010774482,1.005486379,0.997809048,0.960924786,0.969060456,0.970404902,1.009252503,1.013320894,NA,0.986631254,1.024317074,1.030243755,1.01203411,0.973534298,1.032267297,0.998491375,0.983198793,0.981001541,0.991842082,0.924569887,0.974933372,0.969034853,0.969585104,0.991419285,0.932921059,1.010481791,0.984003049,0.948549212,1.051329899,1.050504126,1.052220195,1.053230657,1.051858443,1.055642035,1.060201913,1.04990208,1.046390133,1.039320051,1.062967487
310,1.072869059,1.045611974,1.061890379,1.052060931,1.072012996,1.064701518,1.028693806,1.064998816,1.06345132,1.073567517,1.064915491,1.065666206,1.073128084,1.062157914,1.078452989,1.059543267,1.072979605,1.056647832,1.060462237,1.05098073,1.048251865,1.05746411,1.072470978,1.067272559,1.061827004,1.045280994,1.046569988,1.047436101,1.048100926,1.078563027,NA,0.962956153,0.932896187,0.967117465,0.990629251,0.966361127,0.941809433,0.936616665,0.998121737,0.981945123,1.010067983,1.004875328,0.996972557,0.959773436,0.968020032,0.969296571,1.008510062,1.012441984,NA,0.98567178,1.023635333,1.029526717,1.011187876,0.972312475,1.031666374,0.997346732,0.98191367,0.979495306,0.991038,0.922579965,0.973647541,0.967723345,0.968109359,0.990508304,0.930659415,1.010347581,0.983013625,0.948094948,1.051264704,1.050443818,1.052170385,1.053176577,1.051797176,1.055582639,1.060146321,1.049838711,1.046327419,1.039253909,1.062928093
311,1.072831241,1.045546285,1.061835361,1.051975643,1.071965243,1.064651593,1.028601533,1.064895983,1.063394391,1.073501537,1.064849742,1.065604695,1.073093688,1.062068573,1.07839605,1.059427718,1.072862243,1.05651889,1.060328155,1.050777385,1.048016109,1.057203996,1.072428327,1.067213287,1.061639355,1.045091666,1.04617564,1.04702644,1.047968724,1.078491096,NA,0.962056111,0.931965846,0.966241826,0.989786989,0.965594355,0.940952835,0.934948698,0.99726537,0.981096763,1.009353425,1.004258361,0.996126382,0.95860816,0.966968389,0.968175764,1.007759638,1.011551856,NA,0.984700491,1.022945057,1.028800943,1.010330974,0.971074017,1.031058382,0.9961881,0.980610743,0.977969531,0.990226183,0.920566666,0.972348572,0.966397926,0.96661721,0.989586497,0.928367931,1.010213174,0.982012787,0.947637149,1.051199725,1.050383679,1.052120539,1.053122542,1.05173601,1.055523347,1.060090815,1.049775486,1.046264815,1.039187549,1.062888625
312,1.072793349,1.045480069,1.061780075,1.051889418,1.071917463,1.064601455,1.02850871,1.06479232,1.063337415,1.073435309,1.06478352,1.065542994,1.073059328,1.061978277,1.078338978,1.059311089,1.072743896,1.056388531,1.060192605,1.050571774,1.047777368,1.056940747,1.072385651,1.067154036,1.061449747,1.044900098,1.04577779,1.046612748,1.047834907,1.078418841,NA,0.961146923,0.931027548,0.965358788,0.988935776,0.964820123,0.94008378,0.933260826,0.996401086,0.980239697,1.00863073,1.003635436,0.99527044,0.957428822,0.965905419,0.967042372,1.007001166,1.010650407,NA,0.983717271,1.022246165,1.028066358,1.00946331,0.969818749,1.030443257,0.995015358,0.979289829,0.976424034,0.989406567,0.918529793,0.971036374,0.965058491,0.965108533,0.988653762,0.926046332,1.01007856,0.981000432,0.947175767,1.051134965,1.05032371,1.052070659,1.053068551,1.051674947,1.055464158,1.060035394,1.049712408,1.046202322,1.039120966,1.062849085
313,1.072755381,1.045413319,1.061724517,1.05180224,1.071869651,1.064551097,1.02841532,1.064687821,1.063280392,1.073368828,1.064716817,1.065481098,1.073025005,1.061887008,1.07828177,1.059193367,1.072624555,1.05625674,1.060055571,1.050363874,1.047535604,1.056674332,1.072342949,1.067094807,1.061258168,1.044706265,1.045376421,1.046195,1.047699441,1.078346257,NA,0.960228496,0.930081224,0.964468307,0.988075533,0.96403837,0.939202117,0.931552866,0.995528829,0.979373844,1.007899823,1.003006512,0.994404643,0.956235285,0.964831018,0.965896286,1.006234584,1.00973753,NA,0.982722004,1.021538572,1.027322886,1.008584788,0.968546497,1.029820934,0.993828386,0.977950745,0.974858632,0.98857909,0.916469148,0.969710857,0.963704933,0.963583203,0.987709997,0.92369434,1.00994373,0.97997646,0.946710753,1.051070425,1.050263912,1.052020746,1.053014607,1.051613988,1.055405073,1.059980059,1.049649478,1.046139941,1.039054152,1.062809474
314,1.072717338,1.045346028,1.061668683,1.051714096,1.071821801,1.064500517,1.028321342,1.064582475,1.06322332,1.073302092,1.06464963,1.065419006,1.072990719,1.061794748,1.07822442,1.05907454,1.072504208,1.056123502,1.059917037,1.050153662,1.047290784,1.056404721,1.072300221,1.067035598,1.061064605,1.044510146,1.04497152,1.045773174,1.047562286,1.07827334,NA,0.959300737,0.929126802,0.96357034,0.987206185,0.963249032,0.938307696,0.929824637,0.994648542,0.978499124,1.007160627,1.002371547,0.993528907,0.955027412,0.963745079,0.964737395,1.005459828,1.008813121,NA,0.981714572,1.020822194,1.026570452,1.007695312,0.967257085,1.029191348,0.992627062,0.976593307,0.973273139,0.987743687,0.914384532,0.96837193,0.962337145,0.962041094,0.986755098,0.921311678,1.009808673,0.978940768,0.94624206,1.051006106,1.050204287,1.0519708,1.052960709,1.051553132,1.055346094,1.059924809,1.049586697,1.046077673,1.038987102,1.062769791
315,1.072679222,1.045278187,1.061612567,1.05162497,1.07177391,1.064449708,1.028226759,1.064476275,1.063166199,1.073235094,1.064581953,1.065356714,1.072956468,1.061701479,1.078166925,1.058954595,1.072382845,1.055988801,1.059776988,1.049941115,1.047042869,1.056131881,1.072257469,1.066976409,1.060869046,1.044311719,1.04456307,1.045347244,1.047423407,1.078200084,NA,0.958363552,0.928164211,0.962664844,0.986327654,0.962452047,0.937400362,0.928075954,0.993760171,0.977615456,1.006413065,1.001730499,0.992643147,0.953805063,0.962647495,0.96356559,1.004676834,1.007877074,NA,0.980694858,1.020096949,1.02580898,1.006794787,0.965950337,1.028554434,0.991411265,0.975217331,0.971667371,0.986900294,0.912275744,0.9670195,0.960955019,0.96048208,0.985788962,0.918898065,1.00967338,0.977893252,0.945769638,1.050942009,1.050144835,1.051920822,1.052906858,1.051492381,1.05528722,1.059869643,1.049524066,1.046015519,1.038919807,1.062730039
316,1.072641032,1.045209789,1.061556166,1.051534848,1.071725972,1.064398665,1.02813155,1.064369212,1.063109027,1.073167831,1.064513779,1.065294218,1.072922253,1.061607183,1.07810928,1.058833519,1.072260455,1.055852622,1.059635408,1.04972621,1.046791825,1.055855783,1.072214691,1.06691724,1.060671478,1.04411096,1.044151057,1.044917187,1.047282766,1.078126485,NA,0.957416847,0.927193381,0.961751775,0.985439861,0.961647353,0.936479962,0.926306634,0.992863658,0.976722757,1.005657059,1.001083326,0.991747275,0.952568099,0.961538159,0.962380759,1.003885539,1.006929283,NA,0.979662744,1.01936275,1.025038394,1.005883116,0.964626076,1.027910124,0.990180872,0.973822631,0.970041141,0.986048847,0.910142586,0.965653476,0.959558448,0.958906033,0.984811486,0.91645322,1.009537841,0.97683381,0.94529344,1.050878136,1.050085559,1.051870813,1.052853056,1.051431736,1.055228452,1.059814562,1.049461587,1.045953481,1.038852262,1.062690216
